"seurat_clusters"	"tissue"	"n"	"percent"	"percent2"	"group"	"n_cluster"	"percent_cluster"	"percent_cluster2"
"0"	"om"	986	11.5146560784772	30.306103701157	"A"	3687	16.3583122587515	4.15852383654562
"0"	"pvat"	94	3.75099760574621	9.8724722343223	"A"	3687	16.3583122587515	4.15852383654562
"0"	"sc"	2607	22.7288578901482	59.8214240645207	"A"	3687	16.3583122587515	4.15852383654562
"1"	"om"	864	10.0899217563938	16.5722643477172	"A"	3317	14.7167132525844	4.01940954362332
"1"	"pvat"	943	37.6296887470072	61.8051521403082	"A"	3317	14.7167132525844	4.01940954362332
"1"	"sc"	1510	13.1647776809067	21.6225835119746	"A"	3317	14.7167132525844	4.01940954362332
"10"	"om"	111	1.29627467009226	18.6861240536778	"B"	665	2.95044145703004	2.15394844984965
"10"	"pvat"	26	1.03750997605746	14.9559661750995	"B"	665	2.95044145703004	2.15394844984965
"10"	"sc"	528	4.60331299040976	66.3579097712227	"B"	665	2.95044145703004	2.15394844984965
"11"	"om"	561	6.55144225154736	86.6235727566049	"A"	652	2.89276365411065	2.13512887953194
"11"	"pvat"	7	0.279329608938547	3.69331328491026	"A"	652	2.89276365411065	2.13512887953194
"11"	"sc"	84	0.732345248474281	9.68311395848487	"A"	652	2.89276365411065	2.13512887953194
"12"	"om"	448	5.23181128109307	86.9483448646775	"C"	488	2.16513598651227	1.87386672726149
"12"	"pvat"	14	0.558659217877095	9.28445078157713	"C"	488	2.16513598651227	1.87386672726149
"12"	"sc"	26	0.22667829119442	3.76720435374542	"C"	488	2.16513598651227	1.87386672726149
"13"	"om"	67	0.782436062127759	21.2717549259575	"A"	392	1.73920759572297	1.69564093115338
"13"	"pvat"	2	0.0798084596967279	2.16971849568169	"A"	392	1.73920759572297	1.69564093115338
"13"	"sc"	323	2.81604184829991	76.5585265783608	"A"	392	1.73920759572297	1.69564093115338
"14"	"om"	69	0.805792362489782	22.0279167913625	"D"	389	1.7258973335108	1.68970052442295
"14"	"pvat"	2	0.0798084596967279	2.18172098828825	"D"	389	1.7258973335108	1.68970052442295
"14"	"sc"	318	2.77244986922406	75.7903622203493	"D"	389	1.7258973335108	1.68970052442295
"15"	"om"	5	0.0583907509050566	3.73584730876112	"B"	174	0.771995208305604	1.18395979216608
"15"	"pvat"	1	0.0399042298483639	2.55307745450291	"B"	174	0.771995208305604	1.18395979216608
"15"	"sc"	168	1.46469049694856	93.711075236736	"B"	174	0.771995208305604	1.18395979216608
"2"	"om"	1155	13.4882634590681	44.8937798712989	"B"	3029	13.4389280802165	3.90100472836684
"2"	"pvat"	7	0.279329608938547	0.929709151461782	"B"	3029	13.4389280802165	3.90100472836684
"2"	"sc"	1867	16.2772449869224	54.1765109772393	"B"	3029	13.4389280802165	3.90100472836684
"3"	"om"	567	6.62151115263342	29.0619622800631	"D"	2242	9.94720262655841	3.51692318230442
"3"	"pvat"	50	1.9952114924182	8.75702838774877	"D"	2242	9.94720262655841	3.51692318230442
"3"	"sc"	1625	14.1673931996513	62.1810093321882	"D"	2242	9.94720262655841	3.51692318230442
"4"	"om"	544	6.35291369847016	17.0044145057058	"A"	1915	8.49638404543236	3.32140632857523
"4"	"pvat"	611	24.3814844373504	65.2602706907477	"A"	1915	8.49638404543236	3.32140632857523
"4"	"sc"	760	6.62598081952921	17.7353148035465	"A"	1915	8.49638404543236	3.32140632857523
"5"	"om"	468	5.4653742847133	27.738398254579	"D"	1679	7.449310084742	3.16177646721641
"5"	"pvat"	118	4.70869912210694	23.8980469965819	"D"	1679	7.449310084742	3.16177646721641
"5"	"sc"	1093	9.52920662598082	48.3635547488391	"D"	1679	7.449310084742	3.16177646721641
"6"	"om"	1120	13.0795282027327	84.0083322633046	"B"	1309	5.80771107857491	2.86941959595952
"6"	"pvat"	27	1.07741420590583	6.92010974646858	"B"	1309	5.80771107857491	2.86941959595952
"6"	"sc"	162	1.41238012205754	9.07155799022681	"B"	1309	5.80771107857491	2.86941959595952
"7"	"om"	943	11.0124956206937	84.3332198539601	"A"	1124	4.98691157549137	2.69753177325907
"7"	"pvat"	15	0.598563447725459	4.58377324924609	"A"	1124	4.98691157549137	2.69753177325907
"7"	"sc"	166	1.44725370531822	11.0830068967938	"A"	1124	4.98691157549137	2.69753177325907
"8"	"om"	469	5.47705243489431	39.4236889718845	"C"	794	3.52278273215316	2.32848687046575
"8"	"pvat"	179	7.14285714285714	51.4141103664707	"C"	794	3.52278273215316	2.32848687046575
"8"	"sc"	146	1.27288578901482	9.16220066164482	"C"	794	3.52278273215316	2.32848687046575
"9"	"om"	186	2.17213593366811	11.2596247196297	"A"	683	3.03030303030303	2.17960755483965
"9"	"pvat"	410	16.3607342378292	84.8085632212097	"A"	683	3.03030303030303	2.17960755483965
"9"	"sc"	87	0.758500435919791	3.93181205916061	"A"	683	3.03030303030303	2.17960755483965
