"age"	"BaTG"	"BMI"	"FCV"	"HDL"	"HOMA"	"Iso_Ba"	"IsoTG"	"LEP"	"TG"	"WHR"
"B_cell0"	0.0182971915285149	0.0138999628234394	0.111614531195325	0.408021318909932	-0.108422019134565	0.171139206289249	-0.170693171453231	-0.269215894363496	0.262913504780053	0.206940429146081	0.292215375753887
"B_cell1"	0.0421374368840661	0.0405999341045317	0.19979577864798	0.225250371083483	-0.205838459511605	0.164098002940234	-0.09316415804093	-0.0715571942892616	-0.0352954915582989	0.0924737270199475	0.191352569745855
"Endo_0"	0.0292098033144253	-0.191736963408716	-0.327895124337634	-0.344784830877732	0.286954032759523	-0.323715616326986	0.238621253562773	0.0492443989253114	-0.168181040721406	-0.201853362561521	-0.455457524239938
"Endo_1"	-0.0172586475914965	0.0693723545456198	0.174554448336446	0.477079873609851	-0.187149469982216	0.176853050986232	-0.145706016318977	-0.176199677752753	0.212309393874817	0.237306354012636	0.312136879258353
"Endo_10"	0.0800682068492421	-0.0810017917852818	-0.0669923473437645	-0.255817008878491	0.0127371191632465	-0.0551088900854578	0.212624086016255	0.124650404947054	-0.311767548596406	-0.106881803804963	-0.230305855925665
"Endo_11"	0.000257180801316615	0.181359803229022	0.163704281506497	0.436909530213831	-0.102393157913831	0.0979204710410746	-0.253847685170289	-0.100695426798616	0.250600868874215	0.13673135648002	0.34150561126001
"Endo_2"	-0.0143302634279787	-0.0955882062245691	0.101961980841958	0.421626926866982	0.0638097104997998	0.0642978217431845	-0.0687068108390872	-0.287979282167571	0.175444875452779	0.112503915913889	0.171809471188803
"Endo_3"	0.0187543565592757	-0.0447904273801538	0.146815742001898	0.236639406873301	-0.119101397806043	0.120020253732076	-0.0157148680661216	-0.10001170541158	0.0701831948987032	0.0770355825627886	0.0997200945111932
"Endo_4"	-0.0146124127921514	-0.0737829634093953	0.189948359886956	0.460150725623748	-0.0892241894563497	0.201416508539498	-0.0381113474728132	-0.228845691656933	0.297672313189585	0.209605378346163	0.361773347720566
"Endo_5"	0.139359265743013	0.0461797836064554	0.0482610576706715	0.234624859522548	-0.179079520345839	0.143152742706737	-0.0949007138991623	-0.131185346646138	0.0764674897843724	0.116366118298588	0.215931664606981
"Endo_6"	-0.00102327084326943	0.112114841893972	0.317587094775686	0.256974281375835	-0.212422995047613	0.257118537463973	-0.0781269137180936	0.0854767384752109	0.0414670148179126	0.131618886517234	0.285417132656986
"Endo_7"	0.035123688487901	-0.06437944009013	0.0667254177885472	0.216995096418781	-0.03700814777437	0.080298764477531	0.0227018375484059	-0.104381416418831	0.0682492352269981	0.142233112582835	0.186707577113571
"Endo_8"	0.027916374850854	0.129111685581545	0.328994160005145	0.574751732495498	-0.355760197053981	0.340891781695987	-0.314694566421628	-0.224694549076338	0.223840195705948	0.274908319008767	0.559427872842374
"Endo_9"	0.0033884297247235	0.179269375626023	0.392456627507491	0.741392430689088	-0.360625435771047	0.391323107720524	-0.397436296465562	-0.293513132261962	0.40127419456138	0.295269002986319	0.644654808779726
"Myeloid_0"	0.00641625757589335	0.0675384031099194	0.325550935377387	0.545107480176922	-0.217723322095761	0.303341676506311	-0.194226092968748	-0.270970401621172	0.329686190597396	0.241896615779322	0.465034721267264
"Myeloid_1"	-0.0126505643514109	0.0994866953401557	0.280881150800219	0.595396346060361	-0.162572067367141	0.279040991628505	-0.267721768612951	-0.301053260234671	0.299607914996283	0.273982786714611	0.534439214498209
"Myeloid_10"	-0.00699543975534005	0.180215069848856	0.372334167322955	0.7336214273872	-0.407357785394683	0.449563325267644	-0.436378827352251	-0.340021037017593	0.335859730348065	0.377013177552545	0.644199598907603
"Myeloid_11"	0.0347771438528744	0.114723366246745	0.407694513875198	0.659120573198927	-0.291236998720662	0.336464787301424	-0.328998103555793	-0.311011436270306	0.388627205118738	0.230710785736203	0.646037401355398
"Myeloid_12"	-0.059144769257016	-0.00305174651316462	0.0895815549714721	0.547617451899581	-0.124590877616018	0.158940008175326	-0.114589066641456	-0.182947046720627	0.299232895967253	0.22625838120507	0.342102259194845
"Myeloid_13"	-0.0010202365746569	0.126805889087645	0.305127102844045	0.680216833307309	-0.316388707693875	0.329864453009835	-0.288298084271439	-0.296100266655342	0.321990179197807	0.322671136601799	0.491445311627004
